id,code,origin,destination,depart_time,arrive_time,price,seats_total,seats_left,duration
22,UA9573,Copenhagen,Lisbon,2025-12-10 14:00,2025-12-10 16:34,2650.02,150,150,154
23,AA7937,Seoul,Dubai,2025-12-14 15:00,2025-12-14 18:10,1948.56,140,140,190
24,EK4125,Frankfurt,Dubai,2025-12-11 18:00,2025-12-11 19:01,3107.57,180,180,61
25,SQ8567,Houston,Vienna,2025-12-04 16:00,2025-12-04 18:28,2298.50,250,250,148
26,DL4315,New York,Madrid,2025-12-02 11:00,2025-12-02 15:52,766.22,170,170,292
27,LH9015,Johannesburg,Miami,2025-12-03 08:00,2025-12-03 13:27,2280.11,150,150,327
28,CA5629,Lisbon,Kuala Lumpur,2025-12-08 18:00,2025-12-08 23:26,2265.60,200,200,326
29,QF5691,Stockholm,Miami,2025-12-02 16:00,2025-12-02 22:26,536.59,200,200,386
30,HU9794,Rome,Shanghai,2025-12-07 06:00,2025-12-07 09:24,2564.14,140,140,204
31,CA8558,Perth,Doha,2025-12-20 15:00,2025-12-20 20:53,2951.60,250,250,353
32,UA3716,London,Bangkok,2025-12-01 16:00,2025-12-01 20:34,2876.45,220,220,274
33,NZ6316,Johannesburg,Vancouver,2025-12-15 11:00,2025-12-15 15:55,1404.38,180,180,295
34,UA6989,Seoul,Singapore,2025-12-01 08:00,2025-12-01 13:32,1509.27,250,250,332
36,SU6145,Chicago,Frankfurt,2025-12-15 16:00,2025-12-15 19:03,2106.74,140,140,183
37,ET2400,New York,Sydney,2025-12-02 09:00,2025-12-02 10:06,2269.59,180,180,66
38,ET5456,Ho Chi Minh City,New York,2025-12-19 06:00,2025-12-19 07:21,1823.98,180,180,81
39,BA8751,London,Stockholm,2025-12-05 07:00,2025-12-05 11:10,3281.94,160,160,250
40,QF2092,Seoul,Madrid,2025-12-03 08:00,2025-12-03 09:49,916.64,200,200,109
41,LH4853,Jakarta,Kuala Lumpur,2025-12-06 11:00,2025-12-06 13:35,1338.95,160,159,155
42,CA6089,Ho Chi Minh City,Vancouver,2025-12-21 11:00,2025-12-21 16:47,2057.53,200,200,347
43,HU8948,Dubai,Zurich,2025-12-06 13:00,2025-12-06 17:22,3098.63,140,140,262
44,HU7905,Miami,Perth,2025-12-12 06:00,2025-12-12 11:53,2648.59,140,140,353
45,IB9297,Dallas,Vancouver,2025-12-11 17:00,2025-12-11 21:00,2755.71,170,170,240
46,KE7422,Bangkok,Delhi,2025-12-06 10:00,2025-12-06 15:42,2101.20,140,140,342
47,EK6910,Singapore,Madrid,2025-12-03 15:00,2025-12-03 16:24,631.70,180,180,84
48,BA8300,Seoul,Perth,2025-12-13 15:00,2025-12-13 17:02,215.10,170,170,122
49,LH2830,London,Bangkok,2025-12-08 06:00,2025-12-08 07:09,2324.37,220,220,69
50,VA4712,Seoul,Sydney,2025-12-15 16:00,2025-12-15 17:54,164.60,220,220,114
51,EK3056,London,Jakarta,2025-12-13 13:00,2025-12-13 14:09,2038.35,170,170,69
52,TG9370,Vancouver,Copenhagen,2025-12-19 16:00,2025-12-19 21:39,3466.65,200,200,339
53,HU8543,Johannesburg,Dubai,2025-12-02 18:00,2025-12-02 23:50,881.69,220,220,350
54,EK4350,Madrid,Dubai,2025-12-03 11:00,2025-12-03 14:55,799.81,220,220,235
55,CA1001,Tianjin,Shanghai,2025-12-05 08:00,2025-12-05 10:30,450.00,200,150,150
56,GS7889,Tianjin,Shenzhen,2025-12-05 14:30,2025-12-05 17:50,680.00,180,120,200
57,CZ3102,Tianjin,Guangzhou,2025-12-06 07:30,2025-12-06 11:00,720.00,200,130,210
58,TV9805,Tianjin,Chengdu,2025-12-06 12:00,2025-12-06 15:40,890.00,190,110,220
59,MU2345,Tianjin,Xi'an,2025-12-07 18:00,2025-12-07 20:10,350.00,220,180,130
60,CA1503,Shanghai,Beijing,2025-12-05 07:00,2025-12-05 09:20,480.00,220,160,140
61,MU5301,Shanghai,Guangzhou,2025-12-06 15:00,2025-12-06 17:30,750.00,210,140,150
62,KA803,Shanghai,Hong Kong,2025-12-08 16:00,2025-12-08 18:30,1800.00,160,80,150
63,JL872,Shanghai,Tokyo,2025-12-12 14:30,2025-12-12 18:30,2800.00,150,55,180
64,CA1504,Beijing,Shanghai,2025-12-05 06:30,2025-12-05 09:00,550.00,230,168,150
65,HU7181,Beijing,Haikou,2025-12-06 15:30,2025-12-06 19:10,1250.00,200,120,220
66,CA939,Beijing,London,2025-12-08 13:00,2025-12-08 17:00,4800.00,120,38,540
67,CA981,Beijing,New York,2025-12-09 14:00,2025-12-09 16:30,4200.00,110,50,810
68,CZ3201,Guangzhou,Shanghai,2025-12-05 09:00,2025-12-05 11:30,420.00,220,180,150
69,CZ3101,Guangzhou,Beijing,2025-12-05 13:00,2025-12-05 16:00,850.00,210,160,180
70,3U8718,Guangzhou,Chengdu,2025-12-08 11:00,2025-12-08 13:40,900.00,190,130,160
71,TG669,Guangzhou,Bangkok,2025-12-10 17:00,2025-12-10 19:00,3100.00,150,65,180
72,ZH9876,Shenzhen,Dalian,2025-12-05 10:30,2025-12-05 13:30,620.00,200,145,180
73,CZ6200,Shenzhen,Harbin,2025-12-06 13:00,2025-12-06 17:40,1150.00,180,105,280
74,OZ374,Shenzhen,Seoul,2025-12-07 09:45,2025-12-07 13:50,1900.00,160,85,185
75,5J525,Shenzhen,Manila,2025-12-08 18:00,2025-12-08 20:30,1550.00,150,95,150
76,TV9888,Chengdu,Lhasa,2025-12-05 06:00,2025-12-05 08:30,850.00,180,115,150
77,MF8402,Chengdu,Xiamen,2025-12-06 15:30,2025-12-06 18:20,790.00,180,125,170
78,CA429,Chengdu,Sydney,2025-12-07 22:30,2025-12-08 11:30,3800.00,130,60,660
79,3U8719,Chengdu,Kathmandu,2025-12-08 14:00,2025-12-08 15:30,1750.00,140,75,230
80,GJ8080,Hangzhou,Chongqing,2025-12-05 11:00,2025-12-05 13:30,510.00,210,165,150
81,JD5701,Hangzhou,Sanya,2025-12-06 17:45,2025-12-06 21:00,1300.00,160,90,195
82,TR189,Hangzhou,Singapore,2025-12-07 01:00,2025-12-07 06:00,2500.00,160,88,300
83,MU2488,Wuhan,Kunming,2025-12-05 09:30,2025-12-05 12:30,690.00,200,135,180
84,CI542,Wuhan,Taipei,2025-12-06 14:00,2025-12-06 16:30,1450.00,160,108,150
85,CZ6001,Wuhan,Paris,2025-12-07 10:00,2025-12-07 16:30,4100.00,120,42,630
86,PN6022,Chongqing,Nanjing,2025-12-05 16:00,2025-12-05 18:40,480.00,210,155,160
87,3U8003,Chongqing,Phuket,2025-12-06 21:00,2025-12-07 00:30,2100.00,140,78,210
88,AY106,Chongqing,Helsinki,2025-12-07 09:30,2025-12-07 14:00,3600.00,130,58,570
89,MU2801,Nanjing,Xining,2025-12-05 12:30,2025-12-05 15:50,950.00,180,122,200
90,NX007,Nanjing,Macau,2025-12-06 19:40,2025-12-06 22:20,1700.00,160,98,160
91,MU583,Nanjing,Los Angeles,2025-12-07 18:30,2025-12-07 15:30,4500.00,110,48,660
92,MU2211,Xi'an,Lanzhou,2025-12-05 08:30,2025-12-05 10:00,380.00,220,195,90
93,LJ097,Xi'an,Jeju,2025-12-06 13:30,2025-12-06 17:00,1650.00,150,82,150
94,HU7991,Xi'an,Rome,2025-12-07 00:30,2025-12-07 05:30,3950.00,120,52,660
95,CZ6405,Dalian,Zhengzhou,2025-12-05 10:00,2025-12-05 12:30,590.00,200,138,150
96,JL828,Dalian,Fukuoka,2025-12-06 16:45,2025-12-06 19:40,2200.00,130,72,115
97,CA905,Dalian,Vancouver,2025-12-07 12:00,2025-12-07 07:30,4000.00,110,47,570
98,SC4701,Qingdao,Changsha,2025-12-05 07:30,2025-12-05 10:00,660.00,220,175,150
99,LH786,Qingdao,Munich,2025-12-06 14:30,2025-12-06 19:00,3700.00,120,51,630
100,MU735,Qingdao,Melbourne,2025-12-07 20:00,2025-12-08 09:30,3200.00,130,62,630
101,MF8501,Xiamen,Shanghai,2025-12-05 11:30,2025-12-05 13:20,490.00,210,168,110
102,MF847,Xiamen,Kuala Lumpur,2025-12-06 18:00,2025-12-06 22:00,2050.00,150,77,240
103,KL882,Xiamen,Amsterdam,2025-12-07 23:00,2025-12-08 05:00,4300.00,110,49,720
104,MU5903,Kunming,Lijiang,2025-12-05 14:00,2025-12-05 14:50,350.00,220,199,50
105,MU569,Kunming,New Delhi,2025-12-06 17:30,2025-12-06 20:30,1880.00,160,87,180
106,QR805,Kunming,Doha,2025-12-07 19:00,2025-12-07 23:00,3400.00,150,66,480
107,CA951,Tianjin,Tokyo,2025-12-08 07:00,2025-12-08 11:30,1550.00,180,110,270
108,GS7990,Tianjin,Osaka,2025-12-08 14:00,2025-12-08 16:51,1280.00,160,95,171
109,CZ605,Tianjin,Sapporo,2025-12-08 16:30,2025-12-08 21:00,2050.00,150,88,270
110,NH5704,Tianjin,Fukuoka,2025-12-09 10:00,2025-12-09 12:40,1800.00,200,120,160
111,JL848,Tianjin,Nagoya,2025-12-09 13:30,2025-12-09 16:35,1650.00,170,105,185
112,CA901,Tianjin,Tokyo,2025-12-09 18:30,2025-12-09 23:00,1700.00,220,150,270
113,TV988,Tianjin,Seoul,2025-12-10 09:00,2025-12-10 11:45,1050.00,190,125,165
114,KE806,Tianjin,Seoul,2025-12-10 12:30,2025-12-10 15:15,1120.00,200,130,165
115,OZ327,Tianjin,Seoul,2025-12-10 16:00,2025-12-10 18:50,980.00,180,115,170
116,GS788,Tianjin,Osaka,2025-12-11 06:45,2025-12-11 09:30,1350.00,160,90,165
117,CA5013,Tianjin,Fukuoka,2025-12-11 10:55,2025-12-11 13:35,1750.00,150,85,160
118,MU533,Tianjin,Tokyo,2025-12-11 15:30,2025-12-11 20:18,1600.00,200,140,288
119,HU718,Tianjin,Nagoya,2025-12-12 08:00,2025-12-12 11:00,1480.00,190,115,180
120,CA939,Tianjin,Sapporo,2025-12-12 11:30,2025-12-12 16:15,2150.00,150,75,285
121,CA981,Tianjin,Seoul,2025-12-12 14:00,2025-12-12 16:45,1080.00,220,145,165
122,CZ3201,Tianjin,Seoul,2025-12-13 09:30,2025-12-13 12:20,950.00,200,135,170
123,CZ3101,Tianjin,Osaka,2025-12-13 13:00,2025-12-13 15:55,1400.00,160,98,175
124,3U8718,Tianjin,Tokyo,2025-12-13 17:30,2025-12-13 22:00,1720.00,180,105,270
125,TG669,Tianjin,Fukuoka,2025-12-14 06:00,2025-12-14 08:45,1650.00,170,112,165
126,ZH987,Tianjin,Nagoya,2025-12-14 10:30,2025-12-14 13:30,1580.00,210,140,180
127,CZ6200,Tianjin,Sapporo,2025-12-14 15:00,2025-12-14 19:48,2200.00,150,82,288
128,OZ374,Tianjin,Seoul,2025-12-15 08:45,2025-12-15 11:20,1020.00,190,128,155
129,5J525,Tianjin,Seoul,2025-12-15 11:15,2025-12-15 13:50,990.00,200,133,155
130,TV9888,Tianjin,Tokyo,2025-12-15 14:30,2025-12-15 19:05,1850.00,220,155,275
131,MF8402,Tianjin,Osaka,2025-12-16 07:30,2025-12-16 10:20,1320.00,160,93,170
132,CA429,Tianjin,Fukuoka,2025-12-16 12:00,2025-12-16 14:40,1780.00,180,108,160
133,3U8719,Tianjin,Nagoya,2025-12-16 15:30,2025-12-16 18:35,1450.00,210,135,185
134,GJ8080,Tianjin,Sapporo,2025-12-17 06:30,2025-12-17 11:10,2300.00,150,78,280
135,JD5701,Tianjin,Seoul,2025-12-17 10:00,2025-12-17 12:45,1070.00,200,138,165
136,TR189,Tianjin,Seoul,2025-12-17 13:30,2025-12-17 16:15,1010.00,190,122,165
137,MU2488,Tianjin,Tokyo,2025-12-17 16:45,2025-12-17 21:15,1680.00,220,148,270
138,CI542,Tianjin,Osaka,2025-12-18 08:30,2025-12-18 11:25,1380.00,160,96,175
139,CZ6001,Tianjin,Fukuoka,2025-12-18 11:00,2025-12-18 13:40,1720.00,180,102,160
140,PN6022,Tianjin,Nagoya,2025-12-18 14:30,2025-12-18 17:30,1520.00,210,130,180
141,3U8003,Tianjin,Sapporo,2025-12-19 07:00,2025-12-19 11:42,2400.00,150,73,282
142,AY106,Tianjin,Seoul,2025-12-19 10:30,2025-12-19 13:15,1150.00,200,140,165
143,MU2801,Tianjin,Seoul,2025-12-19 13:45,2025-12-19 16:30,1100.00,190,118,165
144,NX007,Tianjin,Tokyo,2025-12-19 17:00,2025-12-19 21:30,1750.00,220,152,270
145,MU583,Tianjin,Osaka,2025-12-20 06:00,2025-12-20 08:50,1250.00,160,88,170
146,MU2211,Tianjin,Fukuoka,2025-12-20 09:30,2025-12-20 12:15,1600.00,180,105,165
147,LJ097,Tianjin,Nagoya,2025-12-20 13:00,2025-12-20 16:00,1550.00,210,132,180
148,HU7991,Tianjin,Sapporo,2025-12-20 16:30,2025-12-20 21:10,2350.00,150,77,280
149,CZ6405,Tianjin,Seoul,2025-12-21 08:00,2025-12-21 10:40,1000.00,200,136,160
150,JL828,Tianjin,Seoul,2025-12-21 11:30,2025-12-21 14:15,1090.00,190,129,165
151,CA905,Tianjin,Tokyo,2025-12-21 15:00,2025-12-21 19:30,1690.00,220,158,270
152,SC4701,Tianjin,Osaka,2025-12-22 07:30,2025-12-22 10:20,1420.00,160,99,170
153,LH786,Tianjin,Fukuoka,2025-12-22 10:00,2025-12-22 12:45,1820.00,180,115,165
154,MU735,Tianjin,Nagoya,2025-12-22 13:30,2025-12-22 16:35,1590.00,210,142,185
155,MF8501,Tianjin,Sapporo,2025-12-22 17:00,2025-12-22 21:45,2450.00,150,80,285
156,MF847,Tianjin,Seoul,2025-12-23 09:00,2025-12-23 11:40,1130.00,200,137,160
157,KL882,Tianjin,Seoul,2025-12-23 12:30,2025-12-23 15:15,1040.00,190,124,165
158,MU5903,Tianjin,Tokyo,2025-12-23 16:00,2025-12-23 20:30,1780.00,220,160,270
159,MU569,Tianjin,Osaka,2025-12-24 06:30,2025-12-24 09:25,1300.00,160,91,175
160,QR805,Tianjin,Fukuoka,2025-12-24 10:30,2025-12-24 13:10,1680.00,180,107,160
161,CA1001,Tianjin,Nagoya,2025-12-24 14:00,2025-12-24 17:00,1490.00,210,138,180
162,GS7889,Tianjin,Sapporo,2025-12-25 07:00,2025-12-25 11:40,2500.00,150,75,280
163,CZ3102,Tianjin,Seoul,2025-12-25 10:30,2025-12-25 13:10,1180.00,200,140,160
164,TV9805,Tianjin,Seoul,2025-12-25 14:30,2025-12-25 17:15,1060.00,190,127,165
165,MU2345,Tianjin,Tokyo,2025-12-26 08:00,2025-12-26 12:30,1720.00,220,150,270
166,CA1503,Tianjin,Osaka,2025-12-26 11:00,2025-12-26 13:50,1350.00,160,94,170
167,MU5301,Tianjin,Fukuoka,2025-12-26 14:30,2025-12-26 17:10,1700.00,180,111,160
168,KA803,Tianjin,Nagoya,2025-12-27 06:00,2025-12-27 09:05,1620.00,210,145,185
169,JL872,Tianjin,Sapporo,2025-12-27 09:30,2025-12-27 14:10,2600.00,150,85,280
170,CA1504,Tianjin,Seoul,2025-12-27 13:00,2025-12-27 15:45,1090.00,200,132,165
171,HU7181,Tianjin,Seoul,2025-12-28 08:30,2025-12-28 11:10,970.00,190,120,160
172,CA939,Tianjin,Tokyo,2025-12-28 12:00,2025-12-28 16:35,1800.00,220,165,275
173,CA981,Tianjin,Osaka,2025-12-28 15:30,2025-12-28 18:20,1450.00,160,100,170
174,CZ3201,Tianjin,Fukuoka,2025-12-29 07:00,2025-12-29 09:40,1650.00,180,110,160
175,CZ3101,Tianjin,Nagoya,2025-12-29 10:30,2025-12-29 13:30,1500.00,210,135,180
176,3U8718,Tianjin,Sapporo,2025-12-29 14:00,2025-12-29 18:40,2550.00,150,90,280
